time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-28T01:58:14.650Z,43.8857,149.8303,10,4.6,mb,,174,5.226,0.93,us,us1000giex,2018-08-28T02:25:37.040Z,"215km SE of Kuril'sk, Russia",earthquake,10.8,1.9,0.071,59,reviewed,us,us
2018-08-28T01:42:49.765Z,69.5742,-144.6253,0,3.1,ml,,,,0.89,ak,ak20236821,2018-08-28T01:51:52.447Z,"73km SSW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2018-08-28T00:47:28.520Z,69.4877,-144.6291,10,2.8,ml,,136,0.351,0.54,us,us1000giem,2018-08-28T02:32:58.040Z,"81km SSW of Kaktovik, Alaska",earthquake,4.5,2,0.043,72,reviewed,us,us
2018-08-28T00:29:38.169Z,69.4878,-144.641,35.2,2.7,ml,,,,0.75,ak,ak20236806,2018-08-28T02:41:05.040Z,"74km SSW of Kaktovik, Alaska",earthquake,,12.2,,,automatic,ak,ak
2018-08-27T23:56:41.490Z,36.3019981,-120.8539963,8.38,2.65,md,51,106,0.09591,0.09,nc,nc73076705,2018-08-28T01:24:03.554Z,"21km SW of New Idria, CA",earthquake,0.26,0.67,0.14,39,automatic,nc,nc
2018-08-27T22:28:12.808Z,56.1902,-153.2234,10.3,2.7,ml,,,,0.59,ak,ak20236790,2018-08-27T22:38:28.549Z,"155km ENE of Chirikof Island, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-08-27T21:46:18.220Z,-17.604,-69.8347,122.72,4.8,mb,,93,0.338,0.77,us,us1000giaa,2018-08-27T22:21:18.262Z,"25km SE of Tarata, Peru",earthquake,8.4,6,0.1,31,reviewed,us,us
2018-08-27T21:28:01.266Z,69.6178,-144.3012,9.9,3.1,ml,,,,0.65,ak,ak20236778,2018-08-27T22:31:15.040Z,"62km SSW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-08-27T20:09:22.560Z,-61.763,-58.1245,47.84,5.6,mww,,93,0.539,1,us,us1000gi7m,2018-08-28T00:25:09.387Z,"South Shetland Islands",earthquake,8.4,5.9,0.073,18,reviewed,us,us
2018-08-27T20:08:30.378Z,69.6506,-144.5717,8.7,3.1,ml,,,,0.64,ak,ak20235483,2018-08-27T20:12:10.734Z,"64km SW of Kaktovik, Alaska",earthquake,,0.4,,,automatic,ak,ak
